name,version,path
"1Password for Safari","8.11.9","/Applications/1Password for Safari.app"
"1Password","8.11.8","/Applications/1Password.app"
"Alacritty","0.15.1","/Applications/Alacritty.app"
"Alfred 5","5.6.2","/Applications/Alfred 5.app"
"AltTab","7.27.0","/Applications/AltTab.app"
"Anki","25.09","/Applications/Anki.app"
"AppCleaner","3.6.8","/Applications/AppCleaner.app"
"Audacity","3.7.5.0","/Applications/Audacity.app"
"Authy Desktop","2.5.0","/Applications/Authy Desktop.app"
"Blackmagic Disk Speed Test","3.4.2","/Applications/Blackmagic Disk Speed Test.app"
"Blackmagic Proxy Generator Lite","20.1.1","/Applications/Blackmagic Proxy Generator Lite.app"
"Blip","1.1.9","/Applications/Blip.app"
"Brave Browser","140.1.82.161","/Applications/Brave Browser.app"
"Bruno","2.10.1","/Applications/Bruno.app"
"Caffeine","1.1.3","/Applications/Caffeine.app"
"Canary Mail","4.99.0","/Applications/Canary Mail.app"
"CapCut","6.7.0","/Applications/CapCut.app"
"ChatGPT","1.2025.245","/Applications/ChatGPT.app"
"Claude","0.12.129","/Applications/Claude.app"
"CleanMyMac_5","5.2.4","/Applications/CleanMyMac_5.app"
"Copilot","6.0.6","/Applications/Copilot.app"
"Cyberduck","9.2.1","/Applications/Cyberduck.app"
"DaisyDisk","4.31","/Applications/DaisyDisk.app"
"DevUtils","1.17.0","/Applications/DevUtils.app"
"Discord","0.0.360","/Applications/Discord.app"
"Docker","4.45.0","/Applications/Docker.app"
"Downie 4","4.10.7","/Applications/Downie 4.app"
"Dropbox","233.3.4753","/Applications/Dropbox.app"
"Dropover","5.0.5","/Applications/Dropover.app"
"DuckDuckGo","1.155.0","/Applications/DuckDuckGo.app"
"Fantastical","4.0.18","/Applications/Fantastical.app"
"Fileside","1.9.6","/Applications/Fileside.app"
"Firefox","142.0.1","/Applications/Firefox.app"
"ForkLift","4.4.1","/Applications/ForkLift.app"
"GarageBand","10.4.12","/Applications/GarageBand.app"
"Garmin Express","7.27.0.0","/Applications/Garmin Express.app"
"Ghostty","1.1.3","/Applications/Ghostty.app"
"GitHub Desktop","3.5.2","/Applications/GitHub Desktop.app"
"GitKraken","11.4.0","/Applications/GitKraken.app"
"Google Chrome","140.0.7339.133","/Applications/Google Chrome.app"
"HP","20.0.1","/Applications/HP.app"
"HandBrake","1.10.2","/Applications/HandBrake.app"
"Hidden Bar","1.8","/Applications/Hidden Bar.app"
"Hyper","3.4.1","/Applications/Hyper.app"
"IINA","1.3.5","/Applications/IINA.app"
"Infuse","8.2.4","/Applications/Infuse.app"
"Keynote","14.4","/Applications/Keynote.app"
"Kiro","0.2.13","/Applications/Kiro.app"
"LM Studio","0.3.25","/Applications/LM Studio.app"
"Latest","0.11","/Applications/Latest.app"
"LocalSend","1.17.0","/Applications/LocalSend.app"
"Luminar Neo","1.24.6","/Applications/Luminar Neo.app"
"Marta","0.8.2","/Applications/Marta.app"
"Microsoft Edge","140.0.3485.54","/Applications/Microsoft Edge.app"
"Microsoft Excel","16.100.4","/Applications/Microsoft Excel.app"
"Microsoft Outlook","16.100.4","/Applications/Microsoft Outlook.app"
"Microsoft PowerPoint","16.100.4","/Applications/Microsoft PowerPoint.app"
"Microsoft Word","16.100.4","/Applications/Microsoft Word.app"
"Minecraft","2.3.2","/Applications/Minecraft.app"
"Miro","0.11.112","/Applications/Miro.app"
"Notability","15.0.3","/Applications/Notability.app"
"Notion Calendar","1.131.0","/Applications/Notion Calendar.app"
"Notion","4.19.0","/Applications/Notion.app"
"Numbers","14.4","/Applications/Numbers.app"
"Obsidian","1.9.12","/Applications/Obsidian.app"
"Ollama","0.11.10","/Applications/Ollama.app"
"Opera","121.0","/Applications/Opera.app"
"Pages","14.4","/Applications/Pages.app"
"Paintbrush","2.6","/Applications/Paintbrush.app"
"Path Finder","2200","/Applications/Path Finder.app"
"Permute 3","3.13.6","/Applications/Permute 3.app"
"Postman","11.62.1","/Applications/Postman.app"
"PowerShell","7.5.2","/Applications/PowerShell.app"
"PrivadoVPN","3.16.2","/Applications/PrivadoVPN.app"
"Raspberry Pi Imager","1.8.5","/Applications/Raspberry Pi Imager.app"
"Raycast","1.102.7","/Applications/Raycast.app"
"Rectangle","0.90","/Applications/Rectangle.app"
"RemotePlay","8.0.0","/Applications/RemotePlay.app"
"Royal TSX","6.3","/Applications/Royal TSX.app"
"Safari","26.0","/Applications/Safari.app"
"Screen Studio","3.4.9-3911","/Applications/Screen Studio.app"
"SigmaOS","1.19.0","/Applications/SigmaOS.app"
"Skim","1.7.11","/Applications/Skim.app"
"Spark Desktop","3.25.2","/Applications/Spark Desktop.app"
"Spark","2.11.56","/Applications/Spark.app"
"Stats","2.11.52","/Applications/Stats.app"
"Sublime Text","Build 4200","/Applications/Sublime Text.app"
"Tailscale","1.86.4","/Applications/Tailscale.app"
"The Unarchiver","4.3.9","/Applications/The Unarchiver.app"
"Thunderbird","128.5.2","/Applications/Thunderbird.app"
"Transmit","5.10.9","/Applications/Transmit.app"
"UnzipOne","4.0.9","/Applications/UnzipOne.app"
"VLC","3.0.21","/Applications/VLC.app"
"Visual Studio Code","1.104.0","/Applications/Visual Studio Code.app"
"Webull Desktop","8.19.7","/Applications/Webull Desktop.app"
"WezTerm","0.1.0","/Applications/WezTerm.app"
"WhatsApp","25.24.40","/Applications/WhatsApp.app"
"WireGuard","1.0.16","/Applications/WireGuard.app"
"Wireshark","4.4.9","/Applications/Wireshark.app"
"Xcode","16.4","/Applications/Xcode.app"
"draw.io","28.1.2","/Applications/draw.io.app"
"iMazing","3.3.1","/Applications/iMazing.app"
"iMovie","10.4.3","/Applications/iMovie.app"
"iStat Menus","7.10","/Applications/iStat Menus.app"
"iTerm","3.5.14","/Applications/iTerm.app"
