name,version,path
"1Password","8.11.8","/Applications/1Password.app"
"Alfred 5","5.6.2","/Applications/Alfred 5.app"
"Amazon Chime","5.23.22356","/Applications/Amazon Chime.app"
"Anki","25.09","/Applications/Anki.app"
"AppCleaner","3.6.8","/Applications/AppCleaner.app"
"Blackmagic Proxy Generator Lite","20.0.1","/Applications/Blackmagic Proxy Generator Lite.app"
"Brave Browser","136.1.78.94","/Applications/Brave Browser.app"
"Bruno","2.10.1","/Applications/Bruno.app"
"Camtasia","2025.1.0","/Applications/Camtasia.app"
"Canary Mail","4.99.0","/Applications/Canary Mail.app"
"ChatGPT","1.2025.245","/Applications/ChatGPT.app"
"coconutBattery","4.0.4","/Applications/coconutBattery.app"
"Code42-AAT","1.12.21.33","/Applications/Code42-AAT.app"
"Code42","12.6.0","/Applications/Code42.app"
"Copilot","5.2.1","/Applications/Copilot.app"
"Cursor","1.5.11","/Applications/Cursor.app"
"DaisyDisk","4.31","/Applications/DaisyDisk.app"
"DeepL","25.4.11926442","/Applications/DeepL.app"
"DevToys","2.0.8","/Applications/DevToys.app"
"Discord","0.0.360","/Applications/Discord.app"
"Docker","4.45.0","/Applications/Docker.app"
"Downie 4","4.10.7","/Applications/Downie 4.app"
"draw.io","28.1.2","/Applications/draw.io.app"
"Dropbox","233.3.4753","/Applications/Dropbox.app"
"Duo Desktop","7.11.0.0","/Applications/Duo Desktop.app"
"Fantastical","4.0.18","/Applications/Fantastical.app"
"FileZilla","3.69.1","/Applications/FileZilla.app"
"Firefox","142.0.1","/Applications/Firefox.app"
"Flycut","1.9.6","/Applications/Flycut.app"
"ForkLift","4.4","/Applications/ForkLift.app"
"Ghostty","1.1.3","/Applications/Ghostty.app"
"GitHub Desktop","3.5.2","/Applications/GitHub Desktop.app"
"GitKraken","11.1.0","/Applications/GitKraken.app"
"Google Chrome","140.0.7339.133","/Applications/Google Chrome.app"
"HandBrake","1.10.1","/Applications/HandBrake.app"
"HP","20.0.1","/Applications/HP.app"
"Hyper","3.4.1","/Applications/Hyper.app"
"IINA","1.3.5","/Applications/IINA.app"
"iMazing","3.3.1","/Applications/iMazing.app"
"Inkscape","1.4.2","/Applications/Inkscape.app"
"iStat Menus","7.10","/Applications/iStat Menus.app"
"iTerm","3.5.14","/Applications/iTerm.app"
"Keybase","6.5.1-20250422141116+19f9cfeddb","/Applications/Keybase.app"
"Kiro","0.2.38","/Applications/Kiro.app"
"Latest","0.11","/Applications/Latest.app"
"LM Studio","0.3.15","/Applications/LM Studio.app"
"Mac@Cisco Self Service","11.18.1","/Applications/Mac@Cisco Self Service.app"
"Microsoft Excel","16.100.4","/Applications/Microsoft Excel.app"
"Microsoft OneNote","16.100.4","/Applications/Microsoft OneNote.app"
"Microsoft Outlook","16.100.2","/Applications/Microsoft Outlook.app"
"Microsoft PowerPoint","16.100.4","/Applications/Microsoft PowerPoint.app"
"Microsoft Word","16.100.4","/Applications/Microsoft Word.app"
"Minecraft","2.1.3","/Applications/Minecraft.app"
"Miro","0.10.96","/Applications/Miro.app"
"Multipass","1.16.1","/Applications/Multipass.app"
"net.downloadhelper.coapp","2.0.19","/Applications/net.downloadhelper.coapp.app"
"Notability","15.0.3","/Applications/Notability.app"
"Notion Calendar","1.131.0","/Applications/Notion Calendar.app"
"Notion","4.19.0","/Applications/Notion.app"
"Obsidian","1.8.10","/Applications/Obsidian.app"
"OneDrive","25.159.0817","/Applications/OneDrive.app"
"Opera","120.0","/Applications/Opera.app"
"Paintbrush","2.6","/Applications/Paintbrush.app"
"Papers","4.37.2395","/Applications/Papers.app"
"Path Finder","2200","/Applications/Path Finder.app"
"PDF Compress +","4.9","/Applications/PDF Compress +.app"
"PDF Converter Free","3.0.0","/Applications/PDF Converter Free.app"
"PDF Reader Pro","5.2.0","/Applications/PDF Reader Pro.app"
"PDF Reader","2.4","/Applications/PDF Reader.app"
"Permute 3","3.13.6","/Applications/Permute 3.app"
"Postman","11.62.6","/Applications/Postman.app"
"PowerShell","7.5.2","/Applications/PowerShell.app"
"Proton Mail Bridge","3.19.0","/Applications/Proton Mail Bridge.app"
"Raspberry Pi Imager","1.9.6","/Applications/Raspberry Pi Imager.app"
"Rectangle","0.90","/Applications/Rectangle.app"
"Royal TSX","6.3","/Applications/Royal TSX.app"
"Safari","18.6","/Applications/Safari.app"
"Screen Studio","3.2.4-3640","/Applications/Screen Studio.app"
"Setapp","3.47.1","/Applications/Setapp.app"
"Skim","1.7.11","/Applications/Skim.app"
"Skitch","2.9","/Applications/Skitch.app"
"Slack","4.46.95","/Applications/Slack.app"
"Spark Desktop","3.25.2","/Applications/Spark Desktop.app"
"Spark","2.11.56","/Applications/Spark.app"
"Spotify","1.2.71.421","/Applications/Spotify.app"
"Stats","2.11.52","/Applications/Stats.app"
"Sublime Text","Build 4200","/Applications/Sublime Text.app"
"Tailscale","1.86.4","/Applications/Tailscale.app"
"Transmit","5.10.9","/Applications/Transmit.app"
"Vidcast","1.0.6","/Applications/Vidcast.app"
"Visual Studio Code","1.104.0","/Applications/Visual Studio Code.app"
"VLC","3.0.21","/Applications/VLC.app"
"WalkMe Extension","3.2.58","/Applications/WalkMe Extension.app"
"Webex","45.8.0.32875","/Applications/Webex.app"
"WhatsApp","25.25.16","/Applications/WhatsApp.app"
"WireGuard","1.0.16","/Applications/WireGuard.app"
"Wireshark","4.4.7","/Applications/Wireshark.app"
"zoom.us","6.5.12 (63499)","/Applications/zoom.us.app"
"Zotero","7.0.15","/Applications/Zotero.app"
