1password 8.11.8
alacritty 0.15.1
alfred 5.6.2,2296
alt-tab 7.27.0
anki 25.09
appcleaner 3.6.8
audacity 3.7.5
authy 2.5.0
brave-browser 1.82.161.0
bruno 2.10.1
caffeine 1.1.3
chatgpt 1.2025.245,1757119478
claude 0.12.129,185ab35880f18c8192fa55fd63e266d6058f3744
copilot-money 6.0.6,299-542df98c
daisydisk 4.31
devutils 1.17.0
discord 0.0.360
docker-desktop 4.45.0,203075
downie 4.10.7,5022
drawio 28.1.2
fantastical 4.0.18
firefox 142.0.1
font-meslo-lg-nerd-font 3.4.0
forklift 4.4.1
ghostty 1.1.3
github 3.5.2-14087268
gitkraken 11.4.0
google-chrome 140.0.7339.133
handbrake-app 1.10.2
hyper 3.4.1
iina 1.3.5,141
imazing 3.3.1,21410
istat-menus 7.10.2
iterm2 3.5.14
latest 0.11
marta 0.8.2
microsoft-auto-update 4.80.25073044
microsoft-edge 140.0.3485.54,8bdf4954-31d7-47b3-bf9b-0cdbef4e3e65
microsoft-excel 16.100.25090553
microsoft-outlook 16.100.25090553
microsoft-powerpoint 16.100.25090553
microsoft-word 16.100.25090553
minecraft 2.1.3,1
miro 0.11.112
notion 4.19.0
obsidian 1.9.12
opera 121.0.5600.50
paintbrush 2.6.0,20210402
path-finder 2200
permute 3.13.6,2862
postman 11.62.1
powershell 7.5.2
raycast 1.102.7
rectangle 0.90
screen-studio 3.4.9-3911
sigmaos 1.19.0.4
skim 1.7.11
stats 2.11.52
sublime-text 4200
tailscale-app 1.86.4
transmit 5.10.9
visual-studio-code 1.103.2
vlc 3.0.21
webull 8.19.7,8000190026
wezterm 20240203-110809,5046fc22
wireshark-app 4.4.9
