1password 8.10.75
alfred 5.6.1,2294
anaconda 2024.10-1
anki 25.09
appcleaner 3.6.8
brave-browser 1.78.94.0
bruno 2.10.1
camtasia 25.1.0
chatgpt 1.2025.119,1746245444
coconutbattery 4.0.3,163
copilot-money 5.2.1,280-cfd9bd12
cursor 1.1.3,979ba33804ac150108481c14e0b5cb970bda3266
daisydisk 4.31
deepl 25.4.11926442
devtoys 2.0.8.0
discord 0.0.345
docker-desktop 4.41.2,191736
downie 4.9.15,4962
drawio 26.2.15
fantastical 4.0.11
firefox 138.0.1
flycut 1.9.6
font-jetbrains-mono 2.304
forklift 4.3.2
ghostty 1.1.3
github 3.4.19-d147b1a3
gitkraken 11.1.0
google-chrome 136.0.7103.93
handbrake-app 1.9.2
hyper 3.4.1
iina 1.3.5,141
imazing 3.2.0,21369
inkscape 1.4.230579
istat-menus 7.10.2
iterm2 3.5.13
keybase 6.5.1,20250422141116,19f9cfeddb
latest 0.10.3
lm-studio 0.3.15,11
microsoft-auto-update 4.79.25033028
microsoft-outlook 16.96.25041326
microsoft-powerpoint 16.96.25041326
microsoft-word 16.96.25041326
minecraft 2.1.3,1
miro 0.10.96
multipass 1.16.1
notion 4.10.0
notion-calendar 1.131.0
obsidian 1.8.10
onedrive 25.051.0317.0003
opera 118.0.5461.83
paintbrush 2.6.0,20210402
papers 4.37.2395
permute 3.12.6,2814
postman 11.44.0
powershell 7.5.2
proton-mail-bridge 3.19.0
raycast 1.97.1
rectangle 0.87
royal-tsx 6.2.1.1000
setapp 3.44.2,108,1746176529
skim 1.7.9
slack 4.44.59
spotify 1.2.62.580
stats 2.11.42
sublime-text 4192
tailscale-app 1.84.1
transmit 5.10.8
visual-studio-code 1.99.3
vlc 3.0.21
webex 45.4.1.32313
webex-meetings latest
wireshark-app 4.4.6
zoom 6.4.6.53970
zotero 7.0.15
